id,raw_text,canonical_transliterated,translation,silver_label_v1,silver_confidence_v1,gemini_label,gemini_confidence,gemini_rationale,llama_label,llama_confidence,llama_rationale,adjudicator_decision,adjudicator_notes
5237,tuθiu χimθm casθ(n)ialθ lacθ,tuθiu χimθm casθ(n)ialθ lacθ,,dedicatory,medium,funerary,high,"The inscription contains explicit funerary vocabulary, namely `χimθm` ('tomb') and `lacθ` ('in the grave/loculus'), alongside the personal name of the deceased, `casθ(n)ialθ`. This combination directly satisfies rule 1 of the decision tree, identifying the text's purpose as marking a burial site. The funerary context is textually explicit and primary.",unsure,low,"The inscription 'tuθiu χimθm casθ(n)ialθ lacθ' lacks clear context or a known translation, making it difficult to apply the decision tree with confidence. The text does not contain recognizable Etruscan formulas or verbs that would guide classification into one of the defined categories. Without further information on the object or findspot, classification remains uncertain.",,
5423,tenθas avil,tenθas avil,,funerary,high,funerary,high,"The inscription contains the word 'avil' ('year'), a core component of the age-at-death formula exclusively found in Etruscan epitaphs. This element, combined with the personal name in the genitive case ('tenθas'), strongly indicates a funerary context. This matches the first rule of the decision tree, which identifies inscriptions with a personal name and a kinship/death formula as funerary.",unsure,low,The inscription 'tenθas avil' lacks sufficient context to determine its epigraphic type. The text is too short and does not contain a discriminating verb or formula that would allow classification into one of the defined categories. The decision tree cannot be applied confidently with the available information.,,
5430,amce,amce,,legal,high,unsure,high,"The inscription consists of a single word, 'amce' ('was'), with no provided object type or find-context. This lack of information prevents a definitive classification using the decision tree. The word does not match any of the primary formulas (funerary, ownership, boundary, etc.), and while it is a verb, it cannot be classified as dedicatory or votive without a subject, object, or recipient. Per the codebook, inscriptions that are short, lack context, and permit multiple readings must be marked 'unsure'.",dedicatory,medium,"The verb 'amce' is a variant of 'ame', which is a dedicatory formula. Although the text is short and lacks context, the presence of this verb suggests a dedicatory function. The decision tree branch for dedicatory inscriptions (rule 2) is triggered.",,
5511,cuclnies la(utni),cuclnies la(utni),,funerary,medium,unsure,high,"The inscription contains a personal name (`cuclnies`) and a status formula (`lautni`, 'freedman/woman'), which is very common in funerary contexts. However, the codebook requires information about the object (e.g., tomb, urn) or findspot to apply Rule 1 for a `funerary` classification. Without this context, and with no other discriminating features like verbs of giving (Rule 2) or ownership formulas (Rule 5), the inscription cannot be confidently classified and must be routed to adjudication as per the codebook's edge case rules.",ownership,medium,"The inscription 'cuclnies la(utni)' contains a personal name in the genitive form, suggesting possession or relation. The absence of a verb or explicit dedicatory formula and the presence of a genitive personal name aligns with the 'ownership' category, particularly for objects with maker marks or possessive identifiers.",,
6844,it--nturuc----------------------------------------s--,it--nturuc----------------------------------------s--,,dedicatory,medium,dedicatory,medium,"The inscription is highly fragmentary but contains the recognizable verb stem 'turuc-', from 'turuce' ('he/she gave'). According to the decision tree (rule 2), the presence of a verb of giving points toward a dedicatory or votive text. With no evidence for a votive context (rule 3), the inscription is best classified as dedicatory (rule 4), as the verb is the most discriminating feature present.",unsure,low,"The inscription is heavily fragmentary with an intact-token ratio < 0.5, making it impossible to confidently apply the decision tree. The visible portion does not contain a discriminating verb or formula.",,
7045,calisne puial{--------},calisne puial{--------},,funerary,medium,funerary,medium,"The inscription contains the word 'puial', the genitive form of 'puia' (wife). This kinship term is a primary diagnostic feature of funerary epitaphs, as specified in the positive examples for the 'funerary' class in the codebook (e.g., 'larθia spurinas larisal puia'). This satisfies rule 1 of the decision tree on textual grounds. Confidence is medium, not high, because the object type and find-context are unknown, which are key corroborating features for a high-confidence funerary classification.",unsure,low,"The inscription 'calisne puial{--------}' is heavily fragmentary, with a significant portion of the text missing or illegible. The visible portion contains a personal name and a kinship term 'puial', which could suggest a funerary context, but the lack of additional context or a clear formula makes it difficult to determine the epigraphic type with certainty.",,
7770,------svalce------,------svalce------,,funerary,high,funerary,medium,"The inscription is fragmentary but contains the verb 'svalce' ('lived'), which is a diagnostic keyword for a death formula in Etruscan epitaphs, indicating the lifespan of the deceased. This directly triggers the 'death formula' condition of Rule 1. While the personal name and object context are missing due to the fragmentation, the presence of this specific verb is exceptionally strong evidence for a funerary context and fails all subsequent tests in the decision tree.",unsure,low,The inscription is heavily fragmentary with only the verb 'svalce' (lived) partially visible. The decision tree cannot be applied confidently due to the lack of context and intact tokens. The visible portion does not contain a discriminating verb or formula that would allow for a classification into one of the seven epigraphic types.,,
7803,atial zilcti,atial zilcti,,funerary,high,legal,medium,"The classification is based on the presence of 'zilcti', the locative form of the magistracy title 'zilc' (praetor). This phrase, 'atial zilcti', functions as a dating formula ('in the praetorship of Ati'), which is characteristic of official decrees or legal contracts. This aligns with decision tree rule #7, which identifies inscriptions with legal vocabulary. While the text is short and lacks object context, this specific title is a strong indicator of a legal or public document.",funerary,medium,"The inscription 'atial zilcti' contains the term 'zilcti', which is related to a magistracy or office, and 'atial', which could be a kinship term or personal name. The presence of a personal name or kinship term along with a title or office is consistent with funerary inscriptions that often include the name and status of the deceased. The decision tree's first branch is the most relevant, as it deals with tomb or grave-good inscriptions naming the deceased.",,
7868,micavaθa--,micavaθa--,,dedicatory,medium,ownership,medium,"The inscription follows the classic 'mi' + genitive personal name formula ('micavaθa'), meaning 'I am of Cavaθa.' This pattern is a primary positive indicator for the 'ownership' class under step 5 of the decision tree. The confidence is 'medium' rather than 'high' because the object type and find-context are unknown, which could theoretically alter the classification (e.g., if it were on a tomb wall, it would be funerary).",unsure,low,"The inscription 'micavaθa--' is fragmentary and lacks clear context or a complete formula that matches any of the defined epigraphic types. The presence of 'mi' could suggest an ownership or dedicatory formula, but without further context or a verb, it's impossible to determine the label with confidence.",,
8332,mecio a(vloi) (f(ileo)),mecio a(vloi) (f(ileo)),,funerary,medium,funerary,high,"The inscription follows a standard funerary formula, consisting of a personal name ('mecio') followed by a patronymic and filiation marker ('a(vloi) (f(ileo))' for 'son of Avle'). This structure directly matches the criteria in rule 1 of the decision tree and the provided positive examples for the funerary class.",unsure,low,"The inscription 'mecio a(vloi) (f(ileo))' lacks clear context or a verb that could help determine its epigraphic type. The text appears to be a personal name with abbreviations, but without a clear formula or find context, it's difficult to assign a label with confidence. The decision tree cannot be applied effectively due to insufficient information.",,
873,svdernia ar(rvntis),svdernia ar(rvntis),,funerary,medium,funerary,medium,"The inscription follows the classic Etruscan onomastic formula of a personal name ('svdernia') followed by a patronymic in the genitive case ('ar(rvntis)', meaning 'of Arruns'). This structure, which identifies an individual through their parentage, is highly characteristic of funerary epitaphs. Although the object type and find-context are unknown, the presence of a kinship formula strongly suggests a funerary purpose according to decision tree rule #1.",unsure,low,"The inscription 'svdernia ar(rvntis)' lacks sufficient context to determine its epigraphic type. The text is a personal name in the genitive case, but there is no clear indication of the object's type, findspot, or any formula that would tie it to a specific category. Without more information, it's impossible to confidently classify it.",,
8927,alpan vesias,alpan vesias,,votive,high,unsure,high,"The inscription 'alpan vesias' lacks sufficient context for a definitive classification. The object type and findspot are unknown, which is a primary reason to classify as unsure. While 'alpan' is often interpreted as a dedicatory term (""gift"") and 'vesias' is a personal genitive (""of Vesia""), 'alpan' is not one of the specific verbs or formulas listed under rule 2 of the decision tree. The text fails all other specific tests for funerary, ownership, boundary, legal, and commercial inscriptions, leading to the final 'unsure' branch.",dedicatory,medium,"The inscription 'alpan vesias' contains the word 'alpan', which can be related to gift-giving or dedicatory contexts. Although the decision tree does not directly mention 'alpan', the presence of a personal name 'vesias' in the genitive form suggests a possible dedicatory or ownership context. Given the lack of explicit funerary or ownership formulas, and considering the potential dedicatory context, the label 'dedicatory' is chosen.",,
9276,alpnas turce aiseras θuflθicla(s) trutvecie(s),alpnas turce aiseras θuflθicla(s) trutvecie(s),,dedicatory,high,votive,high,"The inscription contains the verb of giving 'turce' and a divine recipient 'aiseras' ('to the gods'), satisfying decision tree step 2. Step 3 is met because the text also includes the term 'trutvecie(s)', which is interpreted as a vow formula, making the inscription specifically votive rather than generally dedicatory.",dedicatory,high,"The inscription contains the verb 'turce', which is a verb of giving, and 'aiser-as', indicating a recipient, likely a deity or person of higher status. This matches the decision tree branch for dedicatory inscriptions. The presence of 'turce' and the dative or accusative form 'aiser-as' strongly supports this classification.",,
9449,mi suθi larθial,mi suθi larθial,,funerary,high,funerary,high,"The inscription contains the key noun 'suθi', meaning 'tomb'. Although the structure 'mi...larθial' resembles an ownership formula, the explicit sepulchral nature of the object named in the text is decisive. Per tie-breaking rule 1 ('Funerary trumps everything else'), this inscription is funerary.",ownership,medium,"The inscription 'mi suθi larθial' contains the possessive formula 'mi' + genitive, which is characteristic of ownership inscriptions. However, 'suθi' is often associated with funerary contexts, making the classification not entirely straightforward. The presence of 'mi' suggests ownership, but the term 'suθi' complicates this, as it typically refers to a tomb or burial context.",,
AS 1.40,[m]i lariśa feleśkenaσ' am[---],[m]i lariśa feleśkenaσ' am[---],,funerary,high,ownership,medium,"The inscription begins with the classic 'mi' + genitive personal name formula ('mi lariśa feleśkenaś'), which is the primary diagnostic for the 'ownership' class under decision tree rule #5. The final word is fragmentary ('am[---]'), which creates some ambiguity as it could potentially be part of a dedicatory verb. However, lacking a complete and clear verb of giving, the prominent and unambiguous possessive formula is the decisive feature.",unsure,low,"The inscription starts with 'mi lariśa feleśkenaσ' am[---]', which could be interpreted in multiple ways due to its fragmentary nature. The presence of 'mi' followed by a personal name in the genitive suggests ownership, but the verb 'am-' is incomplete and could lead to different interpretations. Without more context or a complete verb, it's challenging to confidently assign a label.",,
AS 5.1,aneσ' • caeσ' • puil • hu<p> ni • ei • itruta,aneσ' • caeσ' • puil • hu<p> ni • ei • itruta,,funerary,medium,funerary,high,"The inscription contains a personal name (`aneσ'`) followed by a standard kinship formula: a name in the genitive case (`caeσ'`, 'of Cae') and a kinship term (`puil`, 'wife'). This structure is a hallmark of Etruscan epitaphs and directly matches the positive examples provided for the `funerary` class. The decision tree is satisfied at Rule 1.",unsure,low,"The inscription 'aneσ' • caeσ' • puil • hu<p> ni • ei • itruta' does not clearly match any of the decision tree branches due to its unclear meaning and lack of recognizable Etruscan formulas or vocabulary related to the defined categories. The text is not obviously funerary, dedicatory, or related to ownership, and it lacks key terms associated with legal, boundary, or commercial inscriptions. The presence of 'hu<p>' suggests a potential transcription or reading issue, adding to the uncertainty.",,
AV 6.9,pultuceσi,pultuceσi,,ownership,high,ownership,high,"The inscription is a single word on what is known to be a portable object (an Attic kylix). The word 'pultuceσi' contains a verbal suffix '-ce', typical of maker or artist signatures, meaning 'X made me'. The decision tree's rule 5 directly classifies an inscription on a 'portable utensil with a maker-mark' as 'ownership'.",unsure,low,The inscription 'pultuceσi' is too fragmentary and lacks context to confidently assign a label. The text does not contain a clear verb or formula that matches any of the decision tree branches.,,
At 1.100,[al]eθnas arnθ larisal zilaθ tarχnalθi amce,[al]eθnas arnθ larisal zilaθ tarχnalθi amce,,funerary,high,funerary,high,"The inscription provides the name of the deceased (Arnθ [Al]eθnas), a kinship formula ('larisal', meaning 'of Laris' i.e., son of Laris), and a title of office ('zilaθ', magistrate). This combination of a personal name and a patronymic is a primary characteristic of funerary epitaphs, satisfying Rule 1 of the decision tree. The verb 'amce' ('was') further confirms the text is a commemorative statement about a deceased individual's life.",legal,high,"The inscription contains the term 'zilaθ', which is a title of magistracy, and 'tarχnalθi', suggesting an official or legal context. The verb 'amce' indicates a past state of being or action, often used in legal or official inscriptions. The overall structure and vocabulary align with legal or contractual inscriptions.",,
CIE 247,mi vels tites | mlnanes,mi vels tites | mlnanes,,ownership,medium,dedicatory,high,"The inscription follows the structure 'mi' (I) + personal name (genitive) + verb. The term 'mlnanes' is a recognized variant form of the verb of giving/dedicating (cf. muluvanice). According to the decision tree, the presence of a verb of giving (step 2) and the tie-breaking rule 'Verb > noun' makes this a dedicatory inscription, distinguishing it from a simple ownership formula.",ownership,high,"The inscription 'mi vels tites | mlnanes' follows the 'mi' + genitive of a personal name formula, which is characteristic of ownership inscriptions. The presence of 'mi' and the genitive form indicates possession, aligning with the criteria for ownership. The object type is not specified, but the formula is typical for portable objects or personal items.",,
CIE 2533,frana: peidne: sciria: cencual: sec:,frana: peidne: sciria: cencual: sec:,,funerary,high,funerary,high,"The inscription follows a standard funerary formula, providing a personal name (`frana peidne sciria`) followed by a clear kinship identifier. The phrase `cencual sec` means 'daughter of Cencu', which is a classic matronymic formula used to identify the deceased. This directly satisfies rule 1 of the decision tree.",unsure,low,"The inscription 'frana: peidne: sciria: cencual: sec:' lacks clear indicators for any of the defined epigraphic types. The text does not contain known Etruscan verbs or formulas that would link it directly to one of the categories like funerary, ownership, or dedicatory. Without a clear understanding of the words or the context in which it was found, it's challenging to assign a label with confidence.",,
CIE 2611,putialisa:sec,putialisa:sec,,funerary,high,funerary,high,"The inscription follows the canonical structure of a funerary epitaph, consisting of a personal identifier ('putialisa', likely a gentilicium) and a kinship term ('sec', meaning 'daughter'). This pattern of naming the deceased with their filiation is the primary diagnostic for the `funerary` class, as per rule 1 of the decision tree and its positive examples.",unsure,low,The inscription 'putialisa:sec' is too fragmentary and lacks context to confidently classify it into one of the seven epigraphic types. The text does not contain a clear verb or formula that matches the decision tree criteria for any of the categories.,,
CIE 2635,IMVIV.I IHTVAL MIKIANA MVEQL l.pupuni|lautni|anainis|verus,IMVIV.I IHTVAL MIKIANA MVEQL l.pupuni|lautni|anainis|verus,,funerary,high,funerary,high,"The inscription contains a detailed onomastic formula, 'l.pupuni lautni anainis', identifying an individual by name (Laris Pupuni) and social status as a freedman ('lautni') of the Anai family. This type of extended personal identification formula is characteristic of funerary epitaphs used to name the deceased. This matches rule 1 of the decision tree.",unsure,low,"The inscription is heavily fragmented and contains unclear or unknown terms, making it difficult to apply the decision tree with confidence. The text does not clearly match any of the specific criteria for the given categories, and the translation is not provided.",,
CIE 2847,fasti·tetinei·ps·sec | cicusa,fasti·tetinei·ps·sec | cicusa,,funerary,high,funerary,high,"The inscription follows a standard Etruscan epitaph structure. It contains a personal name, 'fasti tetinei' (Fasti of the Tetina family), followed by the explicit kinship term 'sec' ('daughter'). This combination of a personal name with a kinship formula is a primary diagnostic for funerary inscriptions, as specified in Rule 1 of the decision tree.",unsure,low,"The inscription 'fasti·tetinei·ps·sec | cicusa' lacks clear indicators for any of the defined epigraphic types. The text does not contain known Etruscan verbs or formulas that would categorize it into one of the seven classes. Without additional context or metadata about the object or findspot, it's challenging to assign a confident label.",,
CIE 3029,Tania Uni...,Tania Uni...,,dedicatory,high,dedicatory,high,"The inscription pairs a personal name, 'Tania', with the name of a major deity, 'Uni'. This structure of a mortal donor followed by a divine recipient is highly characteristic of a dedicatory formula, implying a gift to the goddess. Following the decision tree, the presence of a recipient deity (rule 2) and the nature of the gift to a higher status being (rule 4) secures the 'dedicatory' classification, even though the text is fragmentary and the verb of giving is not preserved.",unsure,low,"The inscription 'Tania Uni...' is fragmentary and lacks sufficient context to determine its epigraphic type. The presence of a personal name 'Tania' and a divine name 'Uni' could suggest either a dedicatory or votive context, but without more text or information about the findspot and object type, it's impossible to decide confidently.",,
CIE 312,mi hupnina larθ|acrniś:larθial:felsnal,mi hupnina larθ|acrniś:larθial:felsnal,,ownership,medium,funerary,high,"The inscription follows Rule 1 of the decision tree as it contains two full personal names, each with a clear kinship formula ('acrniś' and 'felsnal', both patronymic/metronymic genitives). This structure is diagnostic for identifying the deceased. Although the text begins with 'mi', which can indicate ownership, the presence of these detailed kinship formulas on what is likely a cinerary cista or grave-good makes the 'funerary' classification definitive, per tie-breaking rule 1.",ownership,high,"The inscription 'mi hupnina larθ|acrniś:larθial:felsnal' contains the formula 'mi' followed by a personal name in the genitive, which is a characteristic ownership formula. The presence of 'mi' with a genitive personal name matches the criteria for ownership inscriptions as per the decision tree (step 5).",,
CIE 48,IMΘI.ΘAΘ.IMΘIΘ MΘI.ΘM.ΘM.ΘIΘ ΘAΘ.ΘV.ΘV.Θ AMΘIΘAΘ.AMΘA.Θ MΘ.ΘΘ.ΘΘ.ΘV.Θ ΘAΘV.ΘM.ΘM.ΘΘ F.Vitesi: calesi cina:es:mestles huΘ:naper lescan letem:Θrui arasa:Θa se:laei:treΘ ΘenΘt:menuaΘa,IMΘI.ΘAΘ.IMΘIΘ MΘI.ΘM.ΘM.ΘIΘ ΘAΘ.ΘV.ΘV.Θ AMΘIΘAΘ.AMΘA.Θ MΘ.ΘΘ.ΘΘ.ΘV.Θ ΘAΘV.ΘM.ΘM.ΘΘ F.Vitesi: calesi cina:es:mestles huΘ:naper lescan letem:Θrui arasa:Θa se:laei:treΘ ΘenΘt:menuaΘa,,legal,high,legal,high,"The inscription, known as the Magliano Lead Disk, is a well-known example of a ritual calendar or sacred law, prescribing offerings to various deities. This aligns perfectly with the 'legal' class description in the codebook, which explicitly includes 'sacred-law tablets' (Decision Tree step 7). The text's complex, prescriptive nature makes 'legal' a much better fit than 'dedicatory', despite the presence of offering-related vocabulary.",unsure,low,"The inscription is heavily fragmentary and does not contain a clear discriminating verb or formula that matches any of the defined categories. The text appears to be a mix of Etruscan letters and words but lacks a clear meaning or context, making it difficult to assign a label with confidence.",,
CIE 50,ΘMΘLSAΘIM ΘIΘSΘ in parte dextra in parte sinistra mi leasies e. .s sp.,ΘMΘLSAΘIM ΘIΘSΘ in parte dextra in parte sinistra mi leasies e. .s sp.,,ownership,low,legal,high,"This inscription is a known excerpt from the Cippus Perusinus (Pe 8.4). The codebook's decision tree explicitly classifies this monument as 'legal' under step 7, citing it as a prime example of a boundary contract whose legal structure dominates its physical form as a cippus. The text itself, with its spatial descriptors ('in parte dextra in parte sinistra'), is part of a complex legal agreement, not a simple boundary marker or ownership claim.",unsure,low,"The inscription is heavily fragmentary and contains non-Etruscan characters or nonsensical sequences ('ΘMΘLSAΘIM ΘIΘSΘ'), making it difficult to apply the decision tree with confidence. The presence of 'mi leasies' could suggest an ownership formula, but the overall text is too corrupt or unintelligible to be certain.",,
