id,raw_text,canonical_transliterated,translation,silver_label,silver_confidence,claude-opus-4-8_label,claude-opus-4-8_confidence,claude-opus-4-8_rationale,gemini-31-pro_label,gemini-31-pro_confidence,gemini-31-pro_rationale,gemini-35-flash_label,gemini-35-flash_confidence,gemini-35-flash_rationale,adjudicator_decision,adjudicator_notes
Pe 3.3,auleσ'i : meteliσ : ve : veśial : clenσi | cen : flereσ : tece : śanσl : tenine | tuθineσ : χiśulicσ,auleσ'i meteliσ ve veśial clenσi cen flereσ tece śanσl tenine tuθineσ χiśulicσ,"This (statue) is erected (?) for the divinity Tece Sans by the city ward (?) Khishuli (?) in honor of Aule (Meteli), son of Vel Meteli and Veshi",dedicatory,high,votive,medium,"The text contains dedicatory/setting-up language ('cen fleres tece... tenine' — 'this offering/statue erected') with a divinity as recipient ('fleres' = offering/divine image, tece śansl), satisfying decision-tree step 2, then step 3: the offering is made to a divinity with explicit fler-offering language, making it more specific than plain dedicatory. This is the Aule Meteli statue context (Arringatore-type), an offering set up in honor of a person to a divinity, favoring 'votive' over generic 'dedicatory'.",dedicatory,high,"Although the text includes a kinship formula, the object is a statue, not a sepulchral item, bypassing Step 1. The presence of the dedicatory term 'flereσ' (offering/statue) directed toward the deity 'śanσl' (Tece Sans) triggers Step 2; without an explicit sanctuary findspot or vow language to satisfy Step 3, it resolves at Step 4 as a gift to a deity.",votive,high,"The text contains the word 'flereσ' (offering/numen) and is addressed to the deity Sans ('śanσl'), signifying a votive offering. This triggers Step 3 of the decision tree due to the explicit votive language ('flereś') and divine dedication context on a bronze statue.",,
TCa 8,iσ've.i.tule ilu.c.ve .a.pirase leθa.m.su.l. ilucu cuie.s.χu pe.r.pri,iσ've.i.tule ilu.c.ve .a.pirase leθa.m.su.l. ilucu cuie.s.χu pe.r.pri,"On the Ides, on the ilucu, in April, for (the divinity) Lethams ilucu cuieskhu must be celebrated (?).",dedicatory,high,unsure,medium,"This is a ritual-calendrical text prescribing when a ceremony must be celebrated (ilucu, dates like the Ides and April, divinity Lethams), not any of the seven closed classes. It lacks a giving verb with a clear votive/dedicatory recipient object, a kinship/death formula, an ownership 'mi'+genitive, boundary 'tular' vocabulary, contractual sale/manumission structure, or quantity/trade marks. Following the decision tree to step 8 with no match, it routes to the adjudication queue.",legal,high,"The inscription prescribes a ritual to be performed for a divinity (Lethams) on specific calendar dates (in April, on the Ides). This language is characteristic of a ritual calendar or sacred law. According to branch 7 of the decision tree, texts containing sacred law vocabulary belong to the 'legal' class.",legal,medium,"The inscription is a passage from the Tabula Capuana (Capua Tile), which is a famous Etruscan ritual calendar and sacred law (lex sacra). It contains prescriptions for rites to be performed on specific dates for the deity Lethams, matching the 'sacred-law' definition under the 'legal' class (Step 7).",,
Ve 3.30,mi mla[χ] mlakaš,mi mla[χ] mlakaš,Thanirsiie Fuluves dedicated me.,dedicatory,high,unsure,low,"The visible Etruscan text 'mi mla[χ] mlakaš' contains the pronoun 'mi' and forms of 'mlakas/mlach' ('beautiful/good'), but no discriminating verb of giving (tur-, mulu-) or kinship/death formula is legible; the phrase is partly fragmentary (bracketed restoration). The provided English translation ('Thanirsiie Fuluves dedicated me') does not correspond to the transliterated tokens, so it cannot be trusted as evidence to trigger the dedicatory branch. With no reliable discriminating formula and a mismatched gloss, this routes to adjudication per the edge-case rules.",unsure,low,"The raw text 'mi mla[χ] mlakaš' uses a possessive 'mi' + genitive formula ('I am a beautiful thing of a beautiful person') that typically indicates ownership (Branch 5), though it lacks a proper personal name. However, the provided English translation ('Thanirsiie Fuluves dedicated me.') severely contradicts the Etruscan text and implies a dedicatory function (Branch 2). Due to this metadata mismatch, the lack of a proper personal name, and the absence of find-context, the inscription permits multiple readings and must be routed to adjudication.",ownership,high,"The text uses the classic 'mi' + genitive formula ('mi mla[χ] mlakaš', meaning 'I am the beautiful [gift] of the beautiful [owner/giver]'). Following Step 5 of the decision tree, and in the absence of an explicit verb of giving or recipient deity (which rules out Step 2/dedicatory), this possessive formula on a portable vessel is classified as ownership.",,
10686,suthina,suθina,,funerary,high,funerary,medium,"The word 'suθina' is a well-attested Etruscan term marking objects as grave-goods dedicated to the deceased ('for the tomb'), which places it in the sepulchral domain under decision-tree rule 1. Although there is no personal name or kinship formula, the term itself is diagnostic of funerary context per tie-breaking rule 1 (find-context/formula is decisive for funerary).",unsure,high,"The text consists solely of the word 'suθina' ('belonging to the tomb'). While this is an unambiguous sepulchral vocabulary word designating a grave good, the lack of object metadata and the absence of a personal name cause it to fail the strict conditions of Branch 1 (which requires a 'personal name AND a kinship/death formula'). Following the decision tree, it falls through all branches to unsure.",unsure,high,"The text consists solely of the word 'suθina', which is a diagnostic Etruscan adjective meaning 'belonging to the tomb' or 'funerary'. However, because it contains no personal name or kinship formula, it does not strictly satisfy the conditions of Step 1 in the decision tree, and no other branch from 2 to 8 applies.",,
1154,miaratiaialtamenei,miaratiaialtamenei,imrs-aratiaismrstameneis-sons-wifes,funerary,medium,unsure,low,"The text begins with 'mi' + genitive personal names (aratiaial, tamenei-s), which resembles an ownership formula under branch 5, but the translation suggests a kinship chain ('...son's wife's') characteristic of funerary parentage formulas (branch 1). Without object/find-context metadata (source tag 'other'), the text alone permits both funerary and ownership readings, so per the edge-case guidance the row is routed to adjudication.",ownership,medium,"The inscription begins with the first-person pronoun 'mi' followed by the genitive personal name 'aratiaial', forming a standard speaking-object possessive formula. Without an explicitly sepulchral find-context or a verb of giving, the text satisfies branch 5 of the decision tree for ownership.",ownership,medium,"The inscription begins with the first-person pronoun 'mi' ('I am') followed by personal names in the genitive/possessive case ('aratiaia', 'tamenei'). Following Step 5 of the decision tree, this 'mi' + genitive formula without a verb of giving or explicit sanctuary/sepulchral context points to an ownership mark.",,
14785,ramthas tetnial,ramθas tetnial,of-mr-ramthamrs-tetnismrpurzesslave,funerary,medium,unsure,low,"The text 'ramθas tetnial' is a personal name (Ramtha) with a genitive/family name (Tetnial) but contains no discriminating verb (no tur-/mulu-), no kinship or death formula (clan, puia, avils), no boundary vocabulary, and no clear find-context. Per the edge-case rule, a bare name in genitive with unknown object class routes to adjudication; there is no 'mi' possessive nor sepulchral context to trigger rules 1 or 5 confidently.",unsure,high,"The inscription consists solely of a female personal name in the genitive ('ramθas tetnial') without any diagnostic verbs or formulas. Because the find-context is unknown (source tag 'other'), the text permits multiple readings such as funerary (belonging to the deceased) or ownership (possessive on a portable object), perfectly matching the codebook's criteria for 'unsure' due to an isolated name with no context.",funerary,medium,"The inscription contains a female personal name in the genitive ('ramθas') followed by a metronymic/family name in the genitive ('tetnial'). This parentage/kinship formula is highly characteristic of Etruscan funerary epitaphs (Rule 1), although the lack of explicit object metadata limits confidence to medium.",,
16497,a(nnos),a(nnos),mr-luciussdaughtershe-livedfor-years,funerary,medium,funerary,low,"The visible text 'a(nnos)' with the translation gloss referencing a daughter of Marcus Lucius who 'lived for years' points to an epitaph age-formula (analogous to Etruscan 'avils'), triggering rule 1 of the decision tree. However, the inscription appears to be Latin rather than Etruscan and is extremely fragmentary (only 'annos' preserved), which normally routes to unsure.",unsure,high,"Although the translation string ('mr-luciussdaughtershe-livedfor-years') strongly indicates a funerary kinship and death formula (Step 1), the raw text 'a(nnos)' is definitively Latin. The codebook explicitly instructs to mark a row as 'unsure' and route to adjudication when the text is in a language/script other than Etruscan (e.g., Latin loans or bilinguals).",unsure,high,"The inscription 'a(nnos)' is in Latin rather than Etruscan, representing the Latin word for 'years' typically found in late epigraphs. According to the codebook's 'Edge cases and unsure' guidelines, texts in a script or language other than Etruscan (such as Latin) must be marked as unsure.",,
16619,suthina,suθina,,funerary,high,funerary,medium,"The word 'suθina' is the well-attested Etruscan term marking objects as grave-goods 'for the tomb'/'of the dead', a diagnostic sepulchral formula per rule 1's death-context criterion. While no personal name or kinship formula is present, the suθina designation itself signals funerary destination, which trumps other branches under tie-breaking rule 1.",unsure,high,"The text consists entirely of the word 'suθina' ('belonging to the tomb' / 'grave-good'). While this strongly indicates a funerary context, Step 1 of the decision tree strictly requires a personal name, which is absent here. With no object metadata provided, it falls through the remaining steps to the adjudication queue.",unsure,high,"The text 'suθina' is a highly diagnostic Etruscan adjective meaning 'belonging to the tomb/sepulchral'. However, because the text contains only this word without a personal name or kinship formula, it fails the strict criteria of Step 1 of the decision tree and does not match any other branch (Steps 2-8), requiring routing to adjudication.",,
16690,suthina,suθina,,funerary,high,funerary,medium,"The word 'suθina' is the standard Etruscan grave-goods marker denoting an object destined for the tomb/the dead, which is diagnostic of a sepulchral context (rule 1). Although no personal name or kinship formula is present, the term itself is a death-context formula, and per tie-breaking rule 1 funerary trumps other readings for objects marked as grave-goods.",unsure,high,"The inscription consists solely of the word 'suθina' (meaning 'belonging to a tomb' or 'funerary'). Although it implies a sepulchral context, it lacks the personal name and kinship/death formula strictly required to satisfy Branch 1. As it also lacks any other diagnostic formulas (like 'mi', verbs of giving, or boundary words), it falls through all branches of the decision tree to Branch 8's NO condition, routing it to the adjudication queue.",unsure,medium,"The inscription consists solely of the word 'suθina' ('belonging to the tomb' / 'sepulchral'). While this is an unambiguous, diagnostic marker of a grave-good, the text lacks a personal name and kinship/death formula to satisfy Step 1 of the decision tree, and does not trigger any subsequent steps, necessitating routing to human adjudication.",,
22,tlaboni(vs),tlaboni(vs),mr-luciuscaecinatlaboniusmrluciusssonlivedfor-yearsfor-,funerary,medium,funerary,medium,"The translation gloss references a personal name (Lucius Caecina Tlabonius), a filiation ('mr Lucius's son'), and an age/life formula ('lived for years'), which matches the funerary kinship+death formula of decision-tree rule 1. Although the raw Etruscan token 'tlaboni(vs)' alone is just a name, the accompanying translation supplies the diagnostic 'lived for X years' (avils) death formula characteristic of tomb/urn inscriptions.",funerary,high,"Although the raw text is truncated to a single name, the provided translation explicitly contains a kinship formula ('son') and a death/age formula ('lived for - years'). According to Step 1 of the decision tree, an inscription naming a deceased individual with kinship and death formulas belongs to the funerary class.",unsure,high,"The text 'tlaboni(vs)' represents a Latinized gentilicium (Tlabonius) in Latin script, triggering the codebook exclusion for texts in scripts other than Etruscan. Additionally, the transliterated text is a single name fragment, while the translation indicates a longer, Latin funerary epitaph ('lived for-years').",,
2219,crasni(e)sa,crasni(e)sa,mr-crasnies-daughters-husband,funerary,medium,unsure,low,"The text is a single fragmentary token 'crasni(e)sa' apparently expressing a genitive/relational family term with no discriminating verb, kinship-death formula, dedicatory verb, or boundary vocabulary. Per the edge-case rule, a single name/relational fragment with no context routes to the adjudication queue; no decision-tree branch (1–8) matches confidently.",unsure,high,"The inscription consists of a single isolated word containing a personal name and kinship suffix. Branch 1 of the decision tree fails because the object type and find-context are unknown ('other'), meaning it cannot be definitively confirmed as a tomb, urn, or sarcophagus. Following the codebook's edge case rules, a single personal name with no context must be routed to the adjudication queue.",funerary,medium,"The inscription contains the name 'crasni(e)sa', featuring the Etruscan gamonymic suffix '-sa' (denoting 'husband of the daughter of Crasnie'). This represents a highly specific kinship/marital formula typical of sepulchral epitaphs, matching the funerary criteria (Rule 1), although the explicit physical context of the object is missing from the metadata.",,
2891,remzn(i)al(isasa),remzn(i)al(isasa),mrs-remznis-daughtersdaughters-husband,funerary,medium,unsure,low,"The text is a single fragmentary genitive/possessive suffix chain ('remzn(i)al(isasa)') expressing a kinship relation but lacking any object context, verb, or discriminating formula. Although the translation hints at a kinship/relational chain that could belong to a funerary context, there is no attested findspot, no death formula, and the token is heavily abbreviated/reconstructed, so no decision-tree branch matches confidently; per the edge-case rules for fragmentary single-name/suffix inscriptions it routes to adjudication.",unsure,high,"The text consists solely of a personal name with a complex kinship formula (indicated by the translation 'mrs-remznis-daughtersdaughters-husband' and suffixes like -al and -isa). While this strongly suggests a funerary inscription, the object metadata is 'other' (unknown find-context). Because a standalone genitive/kinship name could theoretically denote ownership on a portable object, the text alone permits multiple readings without object context, requiring it to be routed to adjudication.",funerary,medium,"The inscription contains a highly complex kinship/marital formula ('remznialisasa', translated as 'husband of the daughter's daughter of Remzni'). In Etruscan epigraphy, such specific kinship and marital lineage designations without possessive pronouns are diagnostic of funerary epitaphs on urns or tombs.",,
3411,titui(e)s puia(l),titui(e)s puia(l),,funerary,high,funerary,medium,"The text contains 'puia' ('wife'), a kinship/relationship term commonly appearing in funerary naming formulas (cf. 'larθia spurinas larisal puia'), indicating the deceased identified relative to a husband. Under decision-tree rule 1, a personal name with a kinship formula points to funerary, though object findspot is not confirmed here.",unsure,high,"The text features a personal name and the kinship term 'puia' (wife), but the find-context and object type are unknown (source tag 'other'). Without sepulchral object metadata, it fails the strict requirement of branch 1. The text alone permits multiple readings: it could be a funerary label (if 'puia' nominative) or an ownership mark (if 'puial' genitive on a portable object), so it must route to adjudication.",funerary,high,"The inscription contains the classic Etruscan kinship term 'puia' (wife), indicating 'wife of Tituie'. This kinship formula satisfies Step 1 of the decision tree for a funerary context.",,
347,alufnei(alisa),alufnei(alisa),mrs-alufneis-daughtershusband,funerary,medium,unsure,low,"The text is essentially a single female name (alufnei) with a kinship-related gloss, but there is no explicit death/kinship formula in the transliteration, no verb of giving, no 'mi'+genitive possessive, and no boundary or legal vocabulary. With no findspot or object-type metadata (source tag 'other') and only a bare name plus an uncertain suffix, no decision-tree branch matches confidently, so per the edge-case rule (single personal name, unknown context) this routes to adjudication.",unsure,high,"Although the text contains a personal name and a kinship formula (translated as 'mrs-alufneis-daughtershusband'), the object type and find-context are entirely unknown (source tag is 'other'). Without confirmation of a sepulchral object, Rule 1 cannot be satisfied, and the codebook directs isolated personal names lacking context to the adjudication queue.",funerary,medium,"The text 'alufnei(alisa)' contains the feminine gentilic name 'Alufnei' followed by the Etruscan kinship/marriage formula suffix '-alisa'. Under Step 1 of the decision tree, the presence of a personal name combined with an explicit kinship formula triggers a classification of 'funerary'.",,
3966,semthni(alisa),semθni(alisa),mr-aulemrs-semthnisdaughters-husbandmr-aules,funerary,medium,unsure,low,"The text is a single fragmentary genitive/gentilic form 'semθni(alisa)' with no discriminating verb, kinship-death formula, or clear object context. The garbled translation gestures at a kinship relation (a daughter's husband), which could suggest a funerary context, but there is no explicit sepulchral findspot, death formula, or intact discriminating token. Per the edge-case rules, a heavily fragmentary single-name form lacking a discriminating formula routes to adjudication.",funerary,medium,"Although the object type is not explicitly defined ('other'), the text contains a personal name with an extended kinship suffix (-alisa), and the translation explicitly lists family relationships (husband, daughter). According to Step 1 of the decision tree, personal names accompanied by kinship formulas are diagnostic of funerary inscriptions.",unsure,high,"The inscription consists of a single personal name with a metronymic kinship suffix (semθni-alisa) but lacks clear object or findspot metadata. According to the 'Edge cases and unsure' section of the codebook, inscriptions that are single personal names without context must be marked unsure and routed to adjudication.",,
